Change Component DesignItemId : Designator=R1 Old DesignItemId=Resistor_1206 New DesignItemId=Resistor_0805
Change Component Footprint: Designator=R1 Old Footprint=RES: 1206 New Footprint=RES: 0805
Change Component Comment : Designator=R1 Old Comment=Resistor film, 20k, ±5%, 1206, 0.25W, -55...+125°C New Comment=Resistor film, 20k, ±5%, 0805, 0.125W, -55...+125°C
Change component parameters: Designator = "R1" ("R1"); Footprint = "RES: 1206"; UniqueID = "\BQZOJDST" ("\BQZOJDST")
Change component parameters (AddParameter): Name = "HelpURL"; Value = "https://www.digikey.com/product-detail/en/yageo/RC0805JR-07100RL/311-100ARCT-ND/731185"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "RC0805JR-07100RL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "0.125W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55...+125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TypeResistor"; Value = "Resistor film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "20k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ValueManufacturerPartNumber"; Value = "Resistor film, 20k, ±5%, 0805, 0.125W, -55...+125°C"; VariantName = "[No Variations]"
